split,system,query_id,known_labels,known_e_or_s,reciprocal_rank,recall_at_10,hit_rate_at_10,precision_at_10,judged_at_10,recall_at_40,hit_rate_at_40,precision_at_40,judged_at_40,latency_ms
validation,hybrid,101332,16,15,1.0,0.06666666666666667,1.0,0.1,0.1,0.26666666666666666,1.0,0.1,0.1,406.149
validation,bm25,101335,16,16,0.047619047619047616,0.0,0.0,0.0,0.0,0.0625,1.0,0.025,0.025,10.269
validation,dense,101335,16,16,1.0,0.125,1.0,0.2,0.2,0.3125,1.0,0.125,0.125,35.448
validation,hybrid,101335,16,16,1.0,0.0625,1.0,0.1,0.1,0.1875,1.0,0.075,0.075,484.839
validation,bm25,101391,11,11,0.05,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.025,0.025,11.726
validation,dense,101391,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.709
validation,hybrid,101391,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.07
validation,bm25,101429,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.448
validation,dense,101429,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.121
validation,hybrid,101429,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.921
validation,bm25,101439,40,22,0.5,0.13636363636363635,1.0,0.3,0.4,0.45454545454545453,1.0,0.25,0.4,5.275
validation,dense,101439,40,22,0.05555555555555555,0.0,0.0,0.0,0.0,0.045454545454545456,1.0,0.025,0.05,45.047
validation,hybrid,101439,40,22,0.5,0.18181818181818182,1.0,0.4,0.6,0.4090909090909091,1.0,0.225,0.35,150.644
validation,bm25,101483,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.858
validation,dense,101483,16,7,0.2,0.14285714285714285,1.0,0.1,0.1,0.14285714285714285,1.0,0.025,0.05,32.294
validation,hybrid,101483,16,7,0.05263157894736842,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.025,0.05,372.897
validation,bm25,10149,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559
validation,dense,10149,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.066
validation,hybrid,10149,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.304
validation,bm25,101522,16,15,1.0,0.4666666666666667,1.0,0.7,0.8,0.4666666666666667,1.0,0.175,0.2,12.164
validation,dense,101522,16,15,0.5,0.13333333333333333,1.0,0.2,0.3,0.13333333333333333,1.0,0.05,0.075,30.364
validation,hybrid,101522,16,15,0.5,0.3333333333333333,1.0,0.5,0.6,0.4666666666666667,1.0,0.175,0.2,144.24
validation,bm25,101536,16,16,0.07692307692307693,0.0,0.0,0.0,0.0,0.25,1.0,0.1,0.1,9.361
validation,dense,101536,16,16,0.3333333333333333,0.125,1.0,0.2,0.2,0.375,1.0,0.15,0.15,32.243
validation,hybrid,101536,16,16,0.3333333333333333,0.1875,1.0,0.3,0.3,0.25,1.0,0.1,0.1,470.739
validation,bm25,101618,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.078
validation,dense,101618,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.536
validation,hybrid,101618,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.017
validation,bm25,101660,16,15,1.0,0.3333333333333333,1.0,0.5,0.5,0.4,1.0,0.15,0.15,6.614
validation,dense,101660,16,15,1.0,0.26666666666666666,1.0,0.4,0.4,0.26666666666666666,1.0,0.1,0.1,30.964
validation,hybrid,101660,16,15,1.0,0.3333333333333333,1.0,0.5,0.5,0.4,1.0,0.15,0.15,220.773
validation,bm25,101739,16,16,1.0,0.625,1.0,1.0,1.0,1.0,1.0,0.4,0.4,61.624
validation,dense,101739,16,16,1.0,0.4375,1.0,0.7,0.7,0.4375,1.0,0.175,0.175,240.046
validation,hybrid,101739,16,16,1.0,0.4375,1.0,0.7,0.7,1.0,1.0,0.4,0.4,269.649
validation,bm25,10174,16,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.595
validation,dense,10174,16,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.151
validation,hybrid,10174,16,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.375
validation,bm25,101747,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.746
validation,dense,101747,16,16,0.14285714285714285,0.0625,1.0,0.1,0.1,0.1875,1.0,0.075,0.075,31.657
validation,hybrid,101747,16,16,0.047619047619047616,0.0,0.0,0.0,0.0,0.1875,1.0,0.075,0.075,431.179
validation,bm25,101916,16,4,1.0,0.5,1.0,0.2,0.2,0.5,1.0,0.05,0.05,26.325
validation,dense,101916,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.33
validation,hybrid,101916,16,4,0.06666666666666667,0.0,0.0,0.0,0.0,0.5,1.0,0.05,0.05,514.192
validation,bm25,101925,16,3,0.05,0.0,0.0,0.0,0.3,0.6666666666666666,1.0,0.05,0.175,42.253
validation,dense,101925,16,3,1.0,0.6666666666666666,1.0,0.2,0.3,0.6666666666666666,1.0,0.05,0.15,89.406
validation,hybrid,101925,16,3,0.5,0.6666666666666666,1.0,0.2,0.5,0.6666666666666666,1.0,0.05,0.175,319.972
validation,bm25,101970,16,16,1.0,0.4375,1.0,0.7,0.7,0.5625,1.0,0.225,0.225,45.99
validation,dense,101970,16,16,0.25,0.125,1.0,0.2,0.2,0.1875,1.0,0.075,0.075,36.434
