split,system,query_id,latency_ms
validation,hybrid,104046,418.861
validation,bm25,104219,7.183
validation,dense,104219,31.029
validation,hybrid,104219,396.822
validation,bm25,104290,8.280
validation,dense,104290,31.889
validation,hybrid,104290,228.439
validation,bm25,104344,5.615
validation,dense,104344,30.647
validation,hybrid,104344,316.216
validation,bm25,104362,6.880
validation,dense,104362,32.264
validation,hybrid,104362,371.575
validation,bm25,104400,41.523
validation,dense,104400,31.575
validation,hybrid,104400,281.967
validation,bm25,104414,10.780
validation,dense,104414,35.701
validation,hybrid,104414,431.036
validation,bm25,104484,27.184
validation,dense,104484,32.553
validation,hybrid,104484,510.036
validation,bm25,104498,6.453
validation,dense,104498,29.907
validation,hybrid,104498,359.254
validation,bm25,104578,7.528
validation,dense,104578,34.874
validation,hybrid,104578,250.592
validation,bm25,104583,7.983
validation,dense,104583,39.827
validation,hybrid,104583,313.518
validation,bm25,104698,8.290
validation,dense,104698,35.854
validation,hybrid,104698,446.032
validation,bm25,104710,5.213
validation,dense,104710,29.680
validation,hybrid,104710,132.329
validation,bm25,104731,33.688
validation,dense,104731,56.868
validation,hybrid,104731,452.267
validation,bm25,104743,4.562
validation,dense,104743,30.876
validation,hybrid,104743,146.659
validation,bm25,104762,5.205
validation,dense,104762,31.432
validation,hybrid,104762,134.995
validation,bm25,104800,9.114
validation,dense,104800,29.786
validation,hybrid,104800,258.197
validation,bm25,104889,4.456
validation,dense,104889,30.100
validation,hybrid,104889,122.143
validation,bm25,104892,20.503
validation,dense,104892,32.604
validation,hybrid,104892,443.480
validation,bm25,105145,23.721
validation,dense,105145,30.518
validation,hybrid,105145,374.043
validation,bm25,105266,28.301
validation,dense,105266,31.125
validation,hybrid,105266,477.770
validation,bm25,105278,27.675
validation,dense,105278,32.769
validation,hybrid,105278,417.834
validation,bm25,1053,27.792
validation,dense,1053,32.133
validation,hybrid,1053,213.921
validation,bm25,105350,5.824
validation,dense,105350,31.801
validation,hybrid,105350,394.871
validation,bm25,105466,13.043
validation,dense,105466,34.292
validation,hybrid,105466,224.150
validation,bm25,105492,20.233
validation,dense,105492,32.981
validation,hybrid,105492,656.575
validation,bm25,105612,11.988
validation,dense,105612,30.805
validation,hybrid,105612,147.338
validation,bm25,105657,6.505
validation,dense,105657,33.414
validation,hybrid,105657,302.290
validation,bm25,10566,30.890
validation,dense,10566,31.363
validation,hybrid,10566,245.720
validation,bm25,105695,16.138
validation,dense,105695,30.782
validation,hybrid,105695,471.570
validation,bm25,1057,33.548
validation,dense,1057,282.870
validation,hybrid,1057,361.657
validation,bm25,105751,10.001
validation,dense,105751,31.532
validation,hybrid,105751,136.427
validation,bm25,105779,9.307
validation,dense,105779,31.302
validation,hybrid,105779,171.910
validation,bm25,105866,32.353
validation,dense,105866,31.400
validation,hybrid,105866,344.129
validation,bm25,10596,5.555
validation,dense,10596,35.378
validation,hybrid,10596,195.115
validation,bm25,106056,7.481
validation,dense,106056,30.348
validation,hybrid,106056,359.149
validation,bm25,106081,13.605
validation,dense,106081,30.146
validation,hybrid,106081,193.517
validation,bm25,106219,8.172
validation,dense,106219,30.805
validation,hybrid,106219,336.661
validation,bm25,106240,14.785
validation,dense,106240,32.001
validation,hybrid,106240,189.956
validation,bm25,106250,18.604
validation,dense,106250,33.282
validation,hybrid,106250,467.790
validation,bm25,106299,4.988
validation,dense,106299,34.465
validation,hybrid,106299,214.571
validation,bm25,106349,6.077
validation,dense,106349,29.591
validation,hybrid,106349,228.528
validation,bm25,10637,25.136
validation,dense,10637,32.257
validation,hybrid,10637,410.013
validation,bm25,106405,28.171
validation,dense,106405,32.778
validation,hybrid,106405,379.434
validation,bm25,106426,4.462
validation,dense,106426,32.369
validation,hybrid,106426,137.580
validation,bm25,10649,4.963
validation,dense,10649,31.304
validation,hybrid,10649,217.646
validation,bm25,106497,5.293
validation,dense,106497,29.803
validation,hybrid,106497,198.655
validation,bm25,106509,13.027
validation,dense,106509,31.391
